2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1414 Receptionists and switchboard operators/1424 Telephone operators,15,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2252 Industrial designers,15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,5124 Professional occupations in public relations and communications,15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,0111 Financial managers,10,10,10,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1413 Records management and filing clerks,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4216 Other instructors,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,Total - Occupation (2006 NOC - HRSDC),18430,17045,16325,720,1390,0.89,0.04,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2174 Computer programmers and interactive media developers,4350,4300,4225,75,55,0.97,0.02,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2171 Information systems analysts and consultants,2535,2485,2475,0,45,0.98,0.00,0.02,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2173 Software engineers and designers,705,675,670,0,35,0.95,0.00,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2281 Computer network technicians,665,635,625,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2282 User support technicians,550,525,505,25,25,0.92,0.05,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2175 Web designers and developers,525,495,465,30,30,0.89,0.06,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0213 Computer and information systems managers,435,430,425,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"2161 Mathematicians, statisticians and actuaries",290,290,285,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4141 Secondary school teachers,260,255,250,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1112 Financial and investment analysts,240,240,240,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2147 Computer engineers (except software engineers),230,230,225,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1122 Professional occupations in business services to management,200,200,200,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"1453 Customer service, information and related clerks",190,170,130,45,0,0.68,0.26,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2283 Systems testing technicians,185,175,175,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4131 College and other vocational instructors,185,175,165,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1111 Financial auditors and accountants,180,180,160,25,0,0.89,0.14,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2172 Database analysts and data administrators,180,165,140,0,0,0.78,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0611 Sales, marketing and advertising managers",170,155,150,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6421 Retail salespersons and sales clerks,170,160,155,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0621 Retail trade managers,160,155,150,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2242 Electronic service technicians (household and business equipment),160,150,150,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4122 Post-secondary teaching and research assistants,160,135,105,35,30,0.66,0.26,0.19,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,5241 Graphic designers and illustrators,160,155,145,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4142 Elementary school and kindergarten teachers,135,135,130,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1411 General office clerks,130,125,125,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1431 Accounting and related clerks,125,120,115,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4163 Business development officers and marketing researchers and consultants,115,115,115,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0122 Banking, credit and other investment managers",110,110,105,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1114 Other financial officers,105,100,100,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1221 Administrative officers,90,80,80,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1232 Loan officers,85,85,90,0,0,1.06,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4112 Lawyers and Québec notaries,80,80,80,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4162 Economists and economic policy researchers and analysts,80,75,75,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",70,70,70,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0131 Telecommunication carriers managers,65,65,65,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"6411 Sales representatives, wholesale trade (non-technical)",65,60,60,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1121 Specialists in human resources,60,60,60,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4216 Other instructors,60,55,55,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,5124 Professional occupations in public relations and communications,60,60,55,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"6641 Food counter attendants, kitchen helpers and related occupations",60,65,50,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2133 Electrical and electronics engineers,55,50,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4211 Paralegal and related occupations,55,50,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0111 Financial managers,50,50,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"1113 Securities agents, investment dealers and brokers",50,50,50,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1231 Bookkeepers,50,35,35,0,0,0.70,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1433 Customer service representatives - financial services,50,40,40,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,5121 Authors and writers,50,50,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6453 Food and beverage servers,50,40,35,0,0,0.70,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6611 Cashiers,50,50,40,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1233 Insurance adjusters and claims examiners,45,45,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4121 University professors,45,30,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"4165 Health policy researchers, consultants and program officers",45,50,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,5223 Graphic arts technicians,45,35,35,0,0,0.78,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6651 Security guards and related occupations/6465 Other protective service occupations,45,45,25,0,0,0.56,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1422 Data entry clerks,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6211 Retail trade supervisors,40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0631 Restaurant and food service managers,35,30,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"4161 Natural and applied science policy researchers, consultants and program officers",35,40,40,0,0,1.14,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"5254 Program leaders and instructors in recreation, sport and fitness",35,25,20,0,0,0.57,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0013 Senior managers - financial, communications and other business services",30,35,35,0,0,1.17,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0643 Commissioned officers, Armed Forces",30,30,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2253 Drafting technologists and technicians,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6232 Real estate agents and salespersons,30,30,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6622 Grocery clerks and store shelf stockers,30,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,7246 Telecommunications installation and repair workers,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,7414 Delivery and courier service drivers,30,25,15,0,0,0.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0112 Human resources managers,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0711 Construction managers,25,20,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0911 Manufacturing managers,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1234 Insurance underwriters,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"1434 Banking, insurance and other financial clerks",25,15,10,0,0,0.40,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1471 Shippers and receivers,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2131 Civil engineers,25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2252 Industrial designers,25,30,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2255 Mapping and related technologists and technicians/2213 Meteorological technicians,25,20,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"4166 Education policy researchers, consultants and program officers",25,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,4212 Community and social service workers,25,15,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6231 Insurance agents and brokers,25,15,15,0,0,0.60,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6242 Cooks,25,20,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6261 Police officers (except commissioned),25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"6464 Other ranks, armed forces",25,20,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1223 Personnel and recruitment officers,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1413 Records management and filing clerks,20,10,10,0,0,0.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1414 Receptionists and switchboard operators/1424 Telephone operators,20,20,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"1461 Mail, postal and related clerks",20,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,1474 Purchasing and inventory clerks,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2145 Petroleum engineers,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,2263 Inspectors in public and environmental health and occupational health and safety,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,6241 Chefs,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,7452 Material handlers,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,0113 Purchasing managers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,"0121 Insurance, real estate and financial brokerage managers",15,15,15,0,0,1.00,0.00,0.00,,
